segment	syllabic	long	consonantal	continuant	delayed release	approximant	nasal	voice	spread gl	LABIAL	round	labiodental	CORONAL	anterior	distributed	strident	lateral	DORSAL	high	low	front	back	tense
k	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
g	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
v	0	0	1	1	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
p	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
f	0	0	1	1	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
b	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
W	0	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	1	1	0	0	1	1
h	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Z	0	0	1	1	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
z	0	0	1	1	1	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
t	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
S	0	0	1	1	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
s	0	0	1	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
d	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
T	0	0	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
D	0	0	1	1	1	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0
_	0	0	1	0	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
J	0	0	1	0	1	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0
m	0	0	1	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
w	0	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1
j	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1
N	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
n	0	0	1	0	0	0	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
l	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0
R	0	0	1	1	0	1	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
r	0	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
3	1	0	0	1	0	1	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
Q	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
{	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0
V	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0
$	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	0
5	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1
@	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
1	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1
E	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
u	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1
U	1	0	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	1	0	0	1	0
i	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1
I	1	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
2	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	1	0	1
4	1	1	0	1	0	1	0	1	0	1	1	0	0	0	0	0	0	1	0	0	0	1	1
6	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1
7	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0
8	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0
#	1	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0
