lemma	predicted_p	base	variant1	variant2	freq1	freq2	log_odds	derivational	nsyl	type	lemma_freq_corrected	corpus_size	out	alpha	sigma
aglik	0.4277757865558305	aglik	aglok	aglom	12	15	-0.2076393647782445	-lik	1	nonword	NA	NA	0.4482758620689655	1	20
biháṉlik	0.4824995208618212	bihánylik	bihánylok	bihánylom	21	5	1.2992829841302609	-lik	2	nonword	NA	NA	0.7857142857142857	1	20
bivejlik	0.5613247355050137	bivejlik	bivejlek	bivejlem	18	8	0.7472144018302211	-lik	2	nonword	NA	NA	0.6785714285714286	1	20
bivégsik	0.4439944872326387	bivégszik	bivégszek	bivégszem	7	22	-1.0560526742493137	-szik	2	nonword	NA	NA	0.25806451612903225	1	20
brarlik	0.41906490451879946	brarlik	brarlok	brarlom	21	6	1.1451323043030026	-lik	1	nonword	NA	NA	0.7586206896551725	1	20
brivegzik	0.47670811421333104	brivegzik	brivegzek	brivegzem	8	21	-0.8938178760220964	-zik	2	nonword	NA	NA	0.2903225806451613	1	20
brobódzik	0.4205265943801149	brobódzik	brobódzok	brobódzom	9	18	-0.6418538861723948	-zik	2	nonword	NA	NA	0.3448275862068965	1	20
brubzik	0.41042536219897924	brubzik	brubzok	brubzom	16	11	0.3483066942682158	-zik	1	nonword	NA	NA	0.5862068965517242	1	20
brágaklik	0.36320674389838026	brágaklik	brágaklok	brágaklom	12	17	-0.325422400434628	-lik	2	nonword	NA	NA	0.41935483870967744	1	20
brüjlik	0.4509803134624851	brüjlik	brüjlök	brüjlöm	18	8	0.7472144018302211	-lik	1	nonword	NA	NA	0.6785714285714286	1	20
böjzik	0.465518754306303	böjzik	böjzök	böjzöm	14	12	0.14310084364067324	-zik	1	nonword	NA	NA	0.5357142857142857	1	20
bölsik	0.4455690047069977	bölszik	bölszök	bölszöm	16	11	0.3483066942682158	-szik	1	nonword	NA	NA	0.5862068965517242	1	20
büglik	0.44264463703118107	büglik	büglök	büglöm	19	7	0.9162907318741552	-lik	1	nonword	NA	NA	0.7142857142857143	1	20
bűtsik	0.3977671021362596	bűtszik	bűtszök	bűtszöm	14	12	0.14310084364067324	-szik	1	nonword	NA	NA	0.5357142857142857	1	20
driládzik	0.3761814896451297	driládzik	driládzok	driládzom	10	19	-0.5978370007556204	-zik	2	nonword	NA	NA	0.3548387096774193	1	20
