segment1	segment2	similarity
a	a	1.0
a	ā	0.493
a	e	0.498
a	ē	0.327
a	i	0.329
a	ī	0.194
a	o	0.329
a	ō	0.194
a	u	0.195
a	ū	0.107
a	p	0.23
a	t	0.231
a	k	0.232
a	f	0.208
a	h	0.317
a	m	0.23
a	n	0.231
a	N	0.232
a	r	0.342
a	w	0.339
ā	a	0.493
ā	ā	1.0
ā	e	0.247
ā	ē	0.496
ā	i	0.194
ā	ī	0.325
ā	o	0.194
ā	ō	0.325
ā	u	0.136
ā	ū	0.191
ā	p	0.15
ā	t	0.151
ā	k	0.151
ā	f	0.14
ā	h	0.186
ā	m	0.15
ā	n	0.151
ā	N	0.151
ā	r	0.195
ā	w	0.194
e	a	0.498
e	ā	0.247
e	e	1.0
e	ē	0.494
e	i	0.497
e	ī	0.247
e	o	0.497
e	ō	0.247
e	u	0.247
e	ū	0.123
e	p	0.311
e	t	0.311
e	k	0.312
e	f	0.272
e	h	0.484
e	m	0.311
e	n	0.311
e	N	0.312
e	r	0.541
e	w	0.538
ē	a	0.327
ē	ā	0.496
ē	e	0.494
ē	ē	1.0
ē	i	0.326
ē	ī	0.494
ē	o	0.326
ē	ō	0.494
ē	u	0.193
ē	ū	0.245
ē	p	0.228
ē	t	0.229
ē	k	0.229
ē	f	0.206
ē	h	0.314
ē	m	0.228
ē	n	0.229
ē	N	0.229
ē	r	0.338
ē	w	0.336
i	a	0.329
i	ā	0.194
i	e	0.497
i	ē	0.326
i	i	1.0
i	ī	0.491
i	o	0.328
i	ō	0.194
i	u	0.494
i	ū	0.244
i	p	0.23
i	t	0.23
i	k	0.231
i	f	0.207
i	h	0.316
i	m	0.23
i	n	0.23
i	N	0.231
i	r	0.34
i	w	0.338
ī	a	0.194
ī	ā	0.325
ī	e	0.247
ī	ē	0.494
ī	i	0.491
ī	ī	1.0
ī	o	0.194
ī	ō	0.323
ī	u	0.321
ī	ū	0.488
ī	p	0.15
ī	t	0.15
ī	k	0.151
ī	f	0.139
ī	h	0.186
ī	m	0.15
ī	n	0.15
ī	N	0.151
ī	r	0.194
ī	w	0.193
o	a	0.329
o	ā	0.194
o	e	0.497
o	ē	0.326
o	i	0.328
o	ī	0.194
o	o	1.0
o	ō	0.491
o	u	0.494
o	ū	0.244
o	p	0.23
o	t	0.23
o	k	0.231
o	f	0.207
o	h	0.316
o	m	0.23
o	n	0.23
o	N	0.231
o	r	0.34
o	w	0.338
ō	a	0.194
ō	ā	0.325
ō	e	0.247
ō	ē	0.494
ō	i	0.194
ō	ī	0.323
ō	o	0.491
ō	ō	1.0
ō	u	0.321
ō	ū	0.488
ō	p	0.15
ō	t	0.15
ō	k	0.151
ō	f	0.139
ō	h	0.186
ō	m	0.15
ō	n	0.15
ō	N	0.151
ō	r	0.194
ō	w	0.193
u	a	0.195
u	ā	0.136
u	e	0.247
u	ē	0.193
u	i	0.494
u	ī	0.321
u	o	0.494
u	ō	0.321
u	u	1.0
u	ū	0.486
u	p	0.15
u	t	0.151
u	k	0.151
u	f	0.14
u	h	0.186
u	m	0.15
u	n	0.151
u	N	0.151
u	r	0.195
u	w	0.194
ū	a	0.107
ū	ā	0.191
ū	e	0.123
ū	ē	0.245
ū	i	0.244
ū	ī	0.488
ū	o	0.244
ū	ō	0.488
ū	u	0.486
ū	ū	1.0
ū	p	0.088
ū	t	0.088
ū	k	0.089
ū	f	0.084
ū	h	0.101
ū	m	0.088
ū	n	0.088
ū	N	0.089
ū	r	0.104
ū	w	0.104
p	a	0.23
p	ā	0.15
p	e	0.311
p	ē	0.228
p	i	0.23
p	ī	0.15
p	o	0.23
p	ō	0.15
p	u	0.15
p	ū	0.088
p	p	1.0
p	t	0.33
p	k	0.331
p	f	0.358
p	h	0.238
p	m	0.325
p	n	0.138
p	N	0.138
p	r	0.219
p	w	0.565
t	a	0.231
t	ā	0.151
t	e	0.311
t	ē	0.229
t	i	0.23
t	ī	0.15
t	o	0.23
t	ō	0.15
t	u	0.151
t	ū	0.088
t	p	0.33
t	t	1.0
t	k	0.333
t	f	0.149
t	h	0.239
t	m	0.138
t	n	0.325
t	N	0.139
t	r	0.566
t	w	0.218
k	a	0.232
k	ā	0.151
k	e	0.312
k	ē	0.229
k	i	0.231
k	ī	0.151
k	o	0.231
k	ō	0.151
k	u	0.151
k	ū	0.089
k	p	0.331
k	t	0.333
k	k	1.0
k	f	0.149
k	h	0.239
k	m	0.138
k	n	0.139
k	N	0.327
k	r	0.22
k	w	0.218
f	a	0.208
f	ā	0.14
f	e	0.272
f	ē	0.206
f	i	0.207
f	ī	0.139
f	o	0.207
f	ō	0.139
f	u	0.14
f	ū	0.084
f	p	0.358
f	t	0.149
f	k	0.149
f	f	1.0
f	h	0.553
f	m	0.358
f	n	0.149
f	N	0.149
f	r	0.197
f	w	0.501
h	a	0.317
h	ā	0.186
h	e	0.484
h	ē	0.314
h	i	0.316
h	ī	0.186
h	o	0.316
h	ō	0.186
h	u	0.186
h	ū	0.101
h	p	0.238
h	t	0.239
h	k	0.239
h	f	0.553
